account,region,country,is_diplomatic_outlet,is_state_media_outlet,is_confucius_institute,account_category,name,social_media_type,langs,link_or_handle,extracted_from_file,extracted_from_col,lookup.twitter.user/verified,lookup.lookup.crowdtangle.account/verified,lookup.twitter.user/createdAt,combined/userHandle,combined/uniqueUserId
cgtnamerica,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['english'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2012-06-27T14:45:38.000Z,tw-cgtnamerica,tw-620136960
cgtnarabic,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2016-12-05T08:37:47.000Z,tw-cgtnarabic,tw-805692634127736832
cgtnarabic,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,,True,,fb-cgtnarabic,fb-691246177723161
cgtnarabic,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_facebook_handle,fb,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Facebook handle,True,,2016-12-05T08:37:47.000Z,tw-cgtnarabic,tw-805692634127736832
cgtnarabic,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_facebook_handle,fb,['arabic'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Facebook handle,,True,,fb-cgtnarabic,fb-691246177723161
cgtnenespanol,Asia Pacific,CHINA,0,State media outlet,0,Media outlet,media_outlet_twitter_handle,tw,['spanish'],handle,ChinaSocialMedia20200928.xlsx,Media outlet Twitter handle,True,,2016-08-05T07:49:04.000Z,tw-cgtnenespanol,tw-761469053181370369
china_emb_ng,Africa,NIGERIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,False,,2019-09-10T14:40:35.000Z,tw-china_emb_ng,tw-1171433208740601857
china_embajada,Americas,COLOMBIA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['spanish', 'english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2020-02-07T20:56:40.000Z,tw-china_embajada,tw-1225886018869583874
chinaandsamoa,Asia-Pacific,SAMOA,Diplomatic outlet,0,0,Embassy,embassy_twitter_handle,tw,"['english', 'n/a', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,Embassy Twitter handle without NA,True,,2019-09-24T10:40:47.000Z,tw-chinaandsamoa,tw-1176446332875108352
chinacgedi,Europe,UNITED KINGDOM,Diplomatic outlet,0,0,CG/Mission,cg_mission_twitter_handle,tw,"['english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,CG/Mission Twitter handle,False,,2020-02-05T09:31:23.000Z,tw-chinacgedi,tw-1224988790302871552
chinaconsulNY,Americas,UNITED STATES OF AMERICA,Diplomatic outlet,0,0,Consulate General,consulate_general_facebook_handle,fb,['english'],handle,ChinaSocialMedia20200928.xlsx,Consulate General Facebook handle,,False,,fb-chinaconsulNY,fb-107460587619146
chinaconsydney,Asia-Pacific,AUSTRALIA,Diplomatic outlet,0,0,CG/Mission,cg_mission_twitter_handle,tw,"['english', 'n/a']",handle,ChinaSocialMedia20200928.xlsx,CG/Mission Twitter handle,False,,2020-04-24T04:01:02.000Z,tw-ChinaConSydney,tw-1253534354032087041
