"crowdtangle.account/id","crowdtangle.account/handle","crowdtangle.account/name"
"11445978","ChinaEmbAngola","Embaixada da China em Angola"
"12773046","cccsdsu","SDSU Chinese Cultural Center"
"12774326","","中国驻毛里塔尼亚使馆Ambassade de Chine en Mauritanieالسفارة الصينية لدى موريتانيا"
"12773047","ucaci2008","UCA Confucius Institute"
"12222415","spoxwangwenbin","Wang Wenbin 汪文斌"
"12773044","GWConfucius","GW Confucius Institute"
"11445976","ChinaEmbSVK","中国驻斯洛伐克使馆 Čínske veľvyslanectvo na Slovensku"
"12773045","EmbassyofChinainLatvia","Embassy of the People's Republic of China in the Republic of Latvia"
"12774709","","工学院大学孔子学院"
"12773050","TheConfuciusInstituteAtStonyBrookUniversity","The Confucius Institute at Stony Brook University"
"12773051","BrookesConfuciusInstitute","Oxford Confucius Institute"
"9519464","ChineseEmbassyinHanoi","中国驻越南大使馆-Đại sứ quán Trung Quốc tại Hà Nội-Chinese Embassy in Hanoi"
"11360727","kr.chinaembassy","中国驻韩国大使馆 / 주한중국대사관"
"12773049","UCLA.CI","UCLA Confucius Institute"
"12240705","Chinaemb.Jordan","中国驻约旦使馆 السفارة الصينية في الأردن"
"12773054","ubconfucius","University at Buffalo Confucius Institute"
"12773055","KonfuziusInstitutTrier","Konfuzius-Institut der Universität Trier"
"12773053","knlukongzixueyuan","Інститут Конфуція КНЛУ 基辅国立语言大学孔子学院"
