"link_or_handle","csvId","langs","social_media_type","extracted_from_col","name","account","extracted_from_file"
"handle","28","['arabic', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaIraq","ChinaSocialMedia20200928.xlsx"
"handle","29","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbIreland","ChinaSocialMedia20200928.xlsx"
"handle","30","['italian', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","AmbCina","ChinaSocialMedia20200928.xlsx"
"handle","31","['japanese', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChnEmbassy_jp","ChinaSocialMedia20200928.xlsx"
"handle","32","['arabic', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseembassyJ","ChinaSocialMedia20200928.xlsx"
"handle","33","['russian', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbKazakh","ChinaSocialMedia20200928.xlsx"
"handle","34","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbKenya","ChinaSocialMedia20200928.xlsx"
"handle","35","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseLiberia","ChinaSocialMedia20200928.xlsx"
"handle","36","['french', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","Chine_au_Mali","ChinaSocialMedia20200928.xlsx"
"handle","37","['arabic', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbinMR","ChinaSocialMedia20200928.xlsx"
"handle","38","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","china_emb_ng","ChinaSocialMedia20200928.xlsx"
"handle","39","['english', 'urdu', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","CathayPak","ChinaSocialMedia20200928.xlsx"
"handle","40","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmb_PNG","ChinaSocialMedia20200928.xlsx"
"handle","41","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbPeru","ChinaSocialMedia20200928.xlsx"
"handle","42","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","Chinaembmanila","ChinaSocialMedia20200928.xlsx"
"handle","43","['english', 'polish', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbPoland","ChinaSocialMedia20200928.xlsx"
"handle","44","['russian', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbinRus","ChinaSocialMedia20200928.xlsx"
"handle","45","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","chinaandsamoa","ChinaSocialMedia20200928.xlsx"
"handle","46","['arabic', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbKSA","ChinaSocialMedia20200928.xlsx"
"handle","47","['serbian', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","EmbChina_RS","ChinaSocialMedia20200928.xlsx"
"handle","48","['slovak', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbSVK","ChinaSocialMedia20200928.xlsx"
"handle","49","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmSlovenia","ChinaSocialMedia20200928.xlsx"
"handle","50","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseSomalia","ChinaSocialMedia20200928.xlsx"
"handle","51","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbSA","ChinaSocialMedia20200928.xlsx"
"handle","52","['spanish', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbEsp","ChinaSocialMedia20200928.xlsx"
"handle","53","['english', 'sinhalese', 'tamil']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbSL","ChinaSocialMedia20200928.xlsx"
"handle","54","['n/a', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","CHNEmbSuriname","ChinaSocialMedia20200928.xlsx"
"handle","55","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","BotschaftChina","ChinaSocialMedia20200928.xlsx"
"handle","56","['english', 'swahili', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbTZ","ChinaSocialMedia20200928.xlsx"
"handle","57","['english', 'thai', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","chineseembassy1","ChinaSocialMedia20200928.xlsx"
"handle","58","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","embassy_chinese","ChinaSocialMedia20200928.xlsx"
"handle","59","['turkish', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaEmbTurkey","ChinaSocialMedia20200928.xlsx"
"handle","60","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmb_Uga","ChinaSocialMedia20200928.xlsx"
"handle","61","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbinUK","ChinaSocialMedia20200928.xlsx"
"handle","62","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaMissionGva","ChinaSocialMedia20200928.xlsx"
"handle","63","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","Chinamission2un","ChinaSocialMedia20200928.xlsx"
"handle","64","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChinaMissionVie","ChinaSocialMedia20200928.xlsx"
"handle","65","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbinUS","ChinaSocialMedia20200928.xlsx"
"handle","66","['spanish', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","Emb_ChinaVen","ChinaSocialMedia20200928.xlsx"
"handle","67","['arabic', 'english', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseEmbtoYEM","ChinaSocialMedia20200928.xlsx"
"handle","68","['english', 'n/a', 'n/a']","tw","Embassy Twitter handle without NA","embassy_twitter_handle","ChineseZimbabwe","ChinaSocialMedia20200928.xlsx"
"handle","69","['english', 'french', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","Ambassador_Liu","ChinaSocialMedia20200928.xlsx"
"handle","70","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","China2ASEAN","ChinaSocialMedia20200928.xlsx"
"handle","71","['english', 'german', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","li_xiaosi","ChinaSocialMedia20200928.xlsx"
"handle","72","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","YXiusheng","ChinaSocialMedia20200928.xlsx"
"handle","73","['english', 'french', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","ChinaAmbBelgium","ChinaSocialMedia20200928.xlsx"
"handle","74","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","DrZhaoYanbo","ChinaSocialMedia20200928.xlsx"
"handle","75","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","WanmingYang","ChinaSocialMedia20200928.xlsx"
"handle","76","['english', 'mandarin', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbassadorHuang","ChinaSocialMedia20200928.xlsx"
"handle","77","['spanish', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","EmbZhangRun","ChinaSocialMedia20200928.xlsx"
"handle","78","['arabic', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbLiaoLiqiang","ChinaSocialMedia20200928.xlsx"
"handle","79","['spanish', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","oujianhong","ChinaSocialMedia20200928.xlsx"
"handle","80","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","DrZhaoyongchen","ChinaSocialMedia20200928.xlsx"
"handle","81","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","China_Amb_India","ChinaSocialMedia20200928.xlsx"
"handle","82","['english', 'persian', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbChangHua","ChinaSocialMedia20200928.xlsx"
"handle","83","['arabic', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","ChinainLebanon","ChinaSocialMedia20200928.xlsx"
"handle","84","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","LiuHongyang4","ChinaSocialMedia20200928.xlsx"
"handle","85","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbassadorZhang","ChinaSocialMedia20200928.xlsx"
"handle","86","['french', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","LiyingZHU1","ChinaSocialMedia20200928.xlsx"
"handle","87","['french', 'english', 'arabic']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbassadeurLiLi","ChinaSocialMedia20200928.xlsx"
"handle","88","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","Amb_Yiming","ChinaSocialMedia20200928.xlsx"
"handle","89","['english', 'nepali', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","PRCAmbNepal","ChinaSocialMedia20200928.xlsx"
"handle","90","['english', 'dutch', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","PRCAmbNL","ChinaSocialMedia20200928.xlsx"
"handle","91","['spanish', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","weiasecas","ChinaSocialMedia20200928.xlsx"
"handle","92","['polish', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbLiuGuangYuan","ChinaSocialMedia20200928.xlsx"
"handle","93","['english', 'arabic', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbZhouJian","ChinaSocialMedia20200928.xlsx"
"handle","94","['arabic', 'english', 'chinese']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbChenWeiQing","ChinaSocialMedia20200928.xlsx"
"handle","95","['serbian', 'serbian', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbChenBo","ChinaSocialMedia20200928.xlsx"
"handle","96","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbLiuQuan","ChinaSocialMedia20200928.xlsx"
"handle","97","['arabic', 'chinese', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbFengBiao","ChinaSocialMedia20200928.xlsx"
"handle","98","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","ChinaAmbUganda","ChinaSocialMedia20200928.xlsx"
"handle","99","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbLiuXiaoMing","ChinaSocialMedia20200928.xlsx"
"handle","100","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","Amb_ChenXu","ChinaSocialMedia20200928.xlsx"
"handle","101","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","ChinaAmbUN","ChinaSocialMedia20200928.xlsx"
"handle","102","['english', 'mandarin', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","AmbCuiTiankai","ChinaSocialMedia20200928.xlsx"
"handle","103","['spanish', 'english', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","Li_Baorong","ChinaSocialMedia20200928.xlsx"
"handle","104","['english', 'n/a', 'n/a']","tw","Chinese Ambassador Twitter handle","chinese_ambassador_twitter_handle","China_Amb_Zim","ChinaSocialMedia20200928.xlsx"
"handle","105","['english']","tw","Chinese Press Officer Twitter handle","chinese_press_officer_twitter_handle","WangXianfeng8","ChinaSocialMedia20200928.xlsx"
"handle","106","['n/a', 'n/a']","tw","Deputy chief of mission Twitter handle","deputy_chief_of_mission_twitter_handle","Yiwen_zh","ChinaSocialMedia20200928.xlsx"
"handle","107","['spanish', 'english']","tw","Deputy chief of mission Twitter handle","deputy_chief_of_mission_twitter_handle","liuboleo2","ChinaSocialMedia20200928.xlsx"
"link","108","['dari', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyinAfghanistanDari/","ChinaSocialMedia20200928.xlsx"
"link","109","['arabic', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/Ambassade-de-Chine-en-Alg%C3%A9rie-855578524460798/","ChinaSocialMedia20200928.xlsx"
"link","110","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbAngola/","ChinaSocialMedia20200928.xlsx"
"link","111","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinainAus/","ChinaSocialMedia20200928.xlsx"
"link","112","['bengali', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembd/?comment_id=Y29tbWVudDoxODE0ODcxMTk5ODgzOTNfMTgxNDg4MDA5OTg4MzA0","ChinaSocialMedia20200928.xlsx"
"link","113","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyinBB/","ChinaSocialMedia20200928.xlsx"
"link","114","['chinese', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaemb.by/","ChinaSocialMedia20200928.xlsx"
"link","115","['french', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/BEEmbassyChina/","ChinaSocialMedia20200928.xlsx"
"link","116","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/bw.chineseembassy/","ChinaSocialMedia20200928.xlsx"
"link","117","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/Chinaembbn/?ref=py_c","ChinaSocialMedia20200928.xlsx"
"link","118","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chineseembassyinbulgaria/?ref=page_internal&path=%2Fchineseembassyinbulgaria%2F","ChinaSocialMedia20200928.xlsx"
"link","119","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ambchineburkina/","ChinaSocialMedia20200928.xlsx"
"link","120","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyCambodia/","ChinaSocialMedia20200928.xlsx"
"link","121","['french', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/AmbChineCmr/","ChinaSocialMedia20200928.xlsx"
"link","122","['spanish', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembajada/","ChinaSocialMedia20200928.xlsx"
"link","123","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/EmbajadaChinaCostaRica/","ChinaSocialMedia20200928.xlsx"
"link","124","['czech', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembassy.cz/","ChinaSocialMedia20200928.xlsx"
"link","125","['portuguese?', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/EmbassyofChinainTimorLeste/","ChinaSocialMedia20200928.xlsx"
"link","126","['spanish', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/EmbajadaChinaSV/","ChinaSocialMedia20200928.xlsx"
"link","127","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chineseembassyinestonia/","ChinaSocialMedia20200928.xlsx"
"link","128","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbAddis/","ChinaSocialMedia20200928.xlsx"
"link","129","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEUMission/","ChinaSocialMedia20200928.xlsx"
"link","130","['french', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/AmbassadeChine/","ChinaSocialMedia20200928.xlsx"
"link","131","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembgm/","ChinaSocialMedia20200928.xlsx"
"link","132","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyinGeorgia/","ChinaSocialMedia20200928.xlsx"
"link","133","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbGuyana/","ChinaSocialMedia20200928.xlsx"
"link","134","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbHungary/","ChinaSocialMedia20200928.xlsx"
"link","135","['indonesian', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyinIndonesia/","ChinaSocialMedia20200928.xlsx"
"link","136","['arabic', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chineseembassyiniraq1/","ChinaSocialMedia20200928.xlsx"
"link","137","['russian', 'kazakh', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaAmbassadorKazakh","ChinaSocialMedia20200928.xlsx"
"link","138","['chinese', 'korean', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/kr.chinaembassy","ChinaSocialMedia20200928.xlsx"
"link","139","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/EmbassyofChinainLatvia/","ChinaSocialMedia20200928.xlsx"
"link","140","['arabic', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinainLebanon/","ChinaSocialMedia20200928.xlsx"
"link","141","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembassynmk/","ChinaSocialMedia20200928.xlsx"
"link","142","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaembmy/","ChinaSocialMedia20200928.xlsx"
"link","143","['french', 'arabic', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/%E4%B8%AD%E5%9B%BD%E9%A9%BB%E6%AF%9B%E9%87%8C%E5%A1%94%E5%B0%BC%E4%BA%9A%E4%BD%BF%E9%A6%86Ambassade-de-Chine-en-Mauritanie%D8%A7%D9%84%D8%B3%D9%81%D8%A7%D8%B1%D8%A9-%D8%A7%D9%84%D8%B5%D9%8A%D9%86%D9%8A%D8%A9-%D9%84%D8%AF%D9%89-%D9%85%D9%88%D8%B1%D9%8A%D8%AA%D8%A7%D9%86%D9%8A%D8%A7-110246073688758","ChinaSocialMedia20200928.xlsx"
"link","144","['english', 'romanian', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/Ambasada.Chinei.in.Moldova/","ChinaSocialMedia20200928.xlsx"
"link","145","['burmese', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/paukphawfriendship/","ChinaSocialMedia20200928.xlsx"
"link","146","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyinNamibia/","ChinaSocialMedia20200928.xlsx"
"link","147","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbNepal/","ChinaSocialMedia20200928.xlsx"
"link","148","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyInNZ/","ChinaSocialMedia20200928.xlsx"
"link","149","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbassyInNigeria/","ChinaSocialMedia20200928.xlsx"
"link","150","['norwegian', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaInNorway/","ChinaSocialMedia20200928.xlsx"
"link","151","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChineseEmbPNG/","ChinaSocialMedia20200928.xlsx"
"link","152","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbassyManila/","ChinaSocialMedia20200928.xlsx"
"link","153","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbPoland/?rf=1474819296069068","ChinaSocialMedia20200928.xlsx"
"link","154","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/AmbasadaChineiinRomania/?rf=287193445231187","ChinaSocialMedia20200928.xlsx"
"link","155","['english', 'n/a', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/chinaandsamoa/","ChinaSocialMedia20200928.xlsx"
"link","156","['arabic', 'english', 'n/a']","fb","Main Facebook Page Link","chinese_embassy_facebook_page_link","https://www.facebook.com/ChinaEmbKSA/","ChinaSocialMedia20200928.xlsx"
